X1	X2
detourr	Portable and Performant Tour Animations
detzrcr	Compare Detrital Zircon Suites
dextergui	A Graphical User Interface for Dexter
DiagrammeR	Graph/Network Visualization
diffr	Display Differences Between Two Files using Codediff Library
diffviewer	HTML Widget to Show File Differences
DIFshiny	Differential Item Functioning via Shiny Application
DImodelsMulti	Fit Multivariate Diversity-Interactions Models with Repeated Measures
dipsaus	A Dipping Sauce for Data Analysis and Visualizations
DisasterAlert	Disaster Alert and Sentiment Analysis
discoveR	Exploratory Data Analysis System
distcomp	Computations over Distributed Data without Aggregation
distill	'R Markdown' Format for Scientific and Technical Writing
DistPlotter	A Graphical User Interface for Plotting Common Univariate Distributions
ditwahLandslide	Early Warning Information on Landslides in Sri Lanka During the Ditwah Storm
dlmtree	Bayesian Treed Distributed Lag Models
dlookr	Tools for Data Diagnosis, Exploration, Transformation
dockViewR	Layout Manager Widget for R and 'shiny' Apps
documenter	Documents Files
DonutMap	Donut Maps with 'sf', 'ggplot2', and 'leaflet'
dosedesignR	Interactive Designing of Dose Finding Studies
downloadthis	Implement Download Buttons in 'rmarkdown'
dPCP	Automated Analysis of Multiplex Digital PCR Data
dpcR	Digital PCR Analysis
dplyrAssist	RStudio Addin for Teaching and Learning Data Manipulation Using 'dplyr'
DQAgui	Graphical User Interface for Data Quality Assessment
dqcheckrGUI	Point-and-Click GUI Client for 'dqcheckr'
drawer	An Interactive HTML Image Editing Tool
drawsample	Draw Samples with the Desired Properties from a Data Set
DrData	Interactive Statistical Analysis and Machine Learning Platform
drhutools	Political Science Academic Research Gears
DrivePlotR	Linked Plot Maps for Multivariate High-Resolution Spatio-Temporal Data
dropR	Dropout Analysis by Condition
dsa	Seasonal Adjustment of Daily Time Series
DT	A Wrapper of the JavaScript Library 'DataTables'
DT2	'DataTables' 2.x for R
DTAT	Dose Titration Algorithm Tuning
DTEAssurance	Assurance Methods for Clinical Trials with a Delayed Treatment Effect
dtrackr	Track your Data Pipelines
dtsmartr	Interactive Virtualized Data Explorer Grid Widget
dtwclust	Time Series Clustering Along with Optimizations for the Dynamic Time Warping Distance
DVHmetrics	Analyze Dose-Volume Histograms and Check Constraints
dygraphs	Interface to 'Dygraphs' Interactive Time Series Charting Library
dynafluxr	Retrieve Reaction Rate Dynamics from Metabolite Concentration Time Courses
DynNom	Visualising Statistical Models using Dynamic Nomograms
Eagle	Multiple Locus Association Mapping on a Genome-Wide Scale
eAnalytics	Dynamic Web-Based Analytics for the Energy Industry
earthUI	Interactive 'shiny' GUI for the 'earth' Package
easylabel	Interactive Scatter Plot and Volcano Plot Labels
easynem	Nematode Community Analysis
easySdcTable	Easy Interface to the Statistical Disclosure Control Package 'sdcTable' Extended with Own Implementation of 'GaussSuppression'
EasyStat	Automated Statistical Analysis, Visualization and Multi-Format Narrative Reporting
eCerto	Statistical Tests for the Production of Reference Materials
ECharts2Shiny	Embedding Interactive Charts Generated with ECharts Library into Shiny Applications
echarts4r	Create Interactive Graphs with 'Echarts JavaScript' Version 6
echarty	Minimal R/Shiny Interface to JavaScript Library 'ECharts'
ecoXCorr	Lagged Cross-Correlation Analysis of Environmental Time Series
edeaR	Exploratory and Descriptive Event-Based Data Analysis
edgebundleR	Circle Plot with Bundled Edges
editbl	'DT' Extension for CRUD (Create, Read, Update, Delete) Applications in 'shiny'
editData	'RStudio' Addin for Editing a 'data.frame'
EEAaq	Handle Air Quality Data from the European Environment Agency Data Portal
EffectLiteR	Average and Conditional Effects
EgoCor	Simple Presentation of Estimated Exponential Semi-Variograms
eirm	Explanatory Item Response Modeling for Dichotomous and Polytomous Items
elaborator	A 'shiny' Application for Exploring Laboratory Data
ElicitationWizard	LLM-Based Bayesian Prior Elicitation Wizard
emailjsr	'emailjs' Support
emayili	Send Email Messages
EMMAgeo	End-Member Modelling of Grain-Size Data
EMSaov	The Analysis of Variance with EMS
emuR	Main Package of the EMU Speech Database Management System
enmSdmX	Species Distribution Modeling and Ecological Niche Modeling
EnrichIntersect	Enrichment Analysis and Intersecting Sankey Diagram
eoffice	Export or Graph and Tables to 'Microsoft' Office and Import Figures and Tables
eph	Argentina's Permanent Household Survey Data and Manipulation Utilities
epicmodel	Causal Modeling in Epidemiology
epiflows	Predicting Disease Spread from Flow Data
EpiSignalDetection	Signal Detection Analysis
episomer	Early Detection of Public Health Threats from Social Media Data
epiviz	Data Visualisation Functions for Epidemiological Data Science Products
epts	Educational Platform Trials Simulator
equatiomatic	Transform Models into 'LaTeX' Equations
ErlangC	Solve Erlang-C Model
ERSA	Exploratory Regression 'Shiny' App
eSDM	Ensemble Tool for Predictions from Species Distribution Models
eseis	Environmental Seismology Toolbox
esmtools	Preprocessing Experience Sampling Method (ESM) Data
espadon	Easy Study of Patient DICOM Data in Oncology
esquisse	Explore and Visualize Your Data Interactively
estadistica	Fundamentos de estadística descriptiva e inferencial
ETRep	Analysis of Elliptical Tubes Under the Relative Curvature Condition
EuclideanSD	An Euclidean View of Center and Spread
eufmdis.adapt	Analyse 'EuFMDiS' Output Files via a Shiny App
EvalTest	Tools for Evaluating Diagnostic Test Performance
eVCGsampler	VCG Sampling using Energy-Based Covariate Balancing
eventPred	Event Prediction
exactamente	Explore the Exact Bootstrap Method
examly	Statistical Metrics and Reporting Tool
excelR	A Wrapper of the 'JavaScript' Library 'jExcel'
ExPanDaR	Explore Your Data Interactively
explodemap	Hierarchical Exploded-View Cartography
explor	Interactive Interfaces for Results Exploration
exploratory	A Tool for Large-Scale Exploratory Analyses
explore	Simplifies Exploratory Data Analysis
ezr	Easy Use of R via Shiny App for Basic Analyses of Experimental Data
ezTrack	Tools for Exploring Animal Movement Data
fabricerin	Create Easily Canvas in 'shiny' and 'RMarkdown' Documents
FactEff	Efficiencies of Block Designs for Factorial and Fractional Factorial Experiments
FAfA	Factor Analysis for All
faq	Create FAQ Page
farrell	Interactive Interface to Data Envelopment Analysis Modeling
FAST.R	Analyze and Visualize FAST-Generated Data
fasterRaster	Faster Raster and Spatial Vector Processing Using 'GRASS'
FastRet	Retention Time Prediction in Liquid Chromatography
fastTopics	Fast Algorithms for Fitting Topic Models and Non-Negative Matrix Factorizations to Count Data
favawesome	'Font Awesome' Icons as 'shiny' 'favicons'
fdapaceShiny	A Shiny App for the 'fdapace' Package
FedIRT	Federated Item Response Theory Models
felp	Functional Help for Functions, Objects, and Packages
fidelius	Browser-Side Password-Protected HTML Documents
FielDHub	A Shiny App for Design of Experiments in Life Sciences
filterNHP	Non-Human Primate Search Filters
findInFiles	Find Pattern in Files
findInGit	Find Pattern in Files of All Branches of a 'git' Repository
findviews	A View Generator for Multidimensional Data
finlabR	Portfolio Analytics and Simulation Toolkit
fio	Friendly Input-Output Analysis
fioRa	Mass-Spectra Prediction Using the FIORA Model
